id ra dec ra1 dec1 ra2 dec2 ra3 dec3 ra4 dec4
T00142 279.0 -74.57142857142857 283.6418905217347 -73.17648171315146 284.49877398436337 -75.85178786522627 273.50122601563675 -75.85178786522627 274.35810947826536 -73.17648171315146
T00143 288.0 -74.57142857142857 292.6418905217347 -73.17648171315146 293.4987739843633 -75.85178786522627 282.50122601563675 -75.85178786522627 283.35810947826536 -73.17648171315146
T00144 297.0 -74.57142857142857 301.6418905217347 -73.17648171315146 302.49877398436337 -75.85178786522627 291.50122601563675 -75.85178786522627 292.35810947826536 -73.17648171315146
T00145 306.0 -74.57142857142857 310.64189052173475 -73.17648171315146 311.4987739843633 -75.85178786522627 300.50122601563675 -75.85178786522627 301.35810947826536 -73.17648171315146
T00146 315.0 -74.57142857142857 319.6418905217347 -73.17648171315146 320.49877398436337 -75.85178786522627 309.50122601563675 -75.85178786522627 310.35810947826536 -73.17648171315146
T00147 324.0 -74.57142857142857 328.64189052173475 -73.17648171315146 329.49877398436337 -75.85178786522627 318.50122601563675 -75.85178786522627 319.35810947826536 -73.17648171315146
T00148 333.0 -74.57142857142857 337.6418905217347 -73.17648171315146 338.49877398436337 -75.85178786522627 327.50122601563675 -75.85178786522627 328.35810947826536 -73.17648171315146
T00149 342.0 -74.57142857142857 346.64189052173475 -73.17648171315146 347.49877398436337 -75.85178786522627 336.50122601563675 -75.85178786522627 337.35810947826536 -73.17648171315146
T00150 351.0 -74.57142857142857 355.6418905217347 -73.17648171315146 356.4987739843633 -75.85178786522627 345.50122601563675 -75.85178786522627 346.35810947826536 -73.17648171315146
T00151 0.0 -72.0 4.046081168678832 -70.6124030235825 4.672696797282996 -73.29041267073946 355.3273032027171 -73.29041267073946 355.95391883132123 -70.6124030235825
T00152 7.826086956521739 -72.0 11.872168125200574 -70.61240302358252 12.498783753804739 -73.29041267073946 3.1533901592388376 -73.29041267073946 3.780005787842989 -70.61240302358252
T00153 15.652173913043478 -72.0 19.69825508172231 -70.6124030235825 20.324870710326476 -73.29041267073946 10.979477115760576 -73.29041267073946 11.606092744364728 -70.6124030235825
T00154 23.47826086956522 -72.0 27.524342038244054 -70.6124030235825 28.150957666848218 -73.29041267073946 18.80556407228232 -73.29041267073946 19.432179700886465 -70.61240302358252
T00155 31.304347826086957 -72.0 35.35042899476579 -70.61240302358252 35.977044623369956 -73.29041267073946 26.631651028804054 -73.29041267073946 27.258266657408207 -70.61240302358252
T00156 39.13043478260869 -72.0 43.17651595128752 -70.6124030235825 43.80313157989169 -73.29041267073946 34.45773798532579 -73.29041267073946 35.08435361392994 -70.61240302358252
T00157 46.95652173913044 -72.0 51.00260290780927 -70.6124030235825 51.62921853641344 -73.29041267073946 42.283824941847534 -73.29041267073946 42.910440570451684 -70.61240302358252
T00158 54.78260869565218 -72.0 58.82868986433101 -70.6124030235825 59.455305492935175 -73.29041267073946 50.109911898369276 -73.29041267073946 50.73652752697343 -70.61240302358252
